"date","accident_count","WTR_moonPhase","WTR_temperatureMin","WTR_temperatureMax","WTR_apparentTemperatureMin","WTR_apparentTemperatureMax","WTR_dewPoint","WTR_humidity","WTR_windSpeed","WTR_windBearing","WTR_visibility","WTR_cloudCover","WTR_pressure"
2005-01-01,1,0.68,33.4,49.79,21.81,43.5,34.61,0.88,19.79,246,7.07,1005.55,1104537600
2005-01-02,1,0.71,36.53,44.35,26.71,37.58,34.23,0.82,16.55,271,8.04,0.57,1013.67
2005-01-04,0,0.78,40.34,50.85,31.85,50.85,39.65,0.83,18.89,230,7.72,0.69,1009.68
2005-01-06,1,0.85,39.41,50.93,31.98,50.93,42.66,0.88,22.86,213,6.23,0.7,1011.1
2005-01-08,1,0.92,39.13,50.4,26.27,50.4,37.02,0.79,29.72,237,7.09,995.3,1105142400
2005-01-09,0,0.96,38.77,54.27,29.91,54.27,42.32,0.85,19.64,221,7.8,0.61,1000.17
2005-01-10,1,0.01,43.07,52.97,35.915,52.97,41.435,0.81,20.84,233,7.685,0.44,994.845
2005-01-12,0,0.08,36.825,42.64,23.765,33.005,33.32,0.81,24.31,239,7.805,0.54,1002.64
2005-01-14,1,0.15,26.56,45.13,26.56,40.86,34.5,0.82,5.61,195,8.77,0.63,1018.66
2005-01-15,0,0.19,45.48,53.86,40.18,53.86,46.54,0.86,14.41,181,6.87,0.81,1012.22
2005-01-17,1,0.25,32.58,47.6,24.72,39.86,36.36,0.86,17.28,240,7.5,0.61,995
2005-01-18,0,0.29,31.75,39.67,21.13,29.94,30.94,0.84,16.18,254,8.41,0.44,987.3
2005-01-22,0,0.41,25.22,34.25,24.51,30.06,27.19,0.9,3.21,29,7.46,0.42,1022.09
2005-01-23,0,0.44,25.38,40.31,20,35.74,28.52,0.81,4.94,300,8.53,0.54,1033.49
2005-01-27,1,0.56,31.32,45.85,28.13,42.4,34.26,0.87,3.49,300,8.04,0.38,1032.56
2005-01-29,1,0.62,34.56,48.315,30.845,45.455,37.515,0.87,7.615,295.5,8.805,0.34,1029.75
2005-01-30,2,0.66,39.35,47.926,35.656,42.136,39.768,0.82,11.746,266.6,8.472,0.578,1030.88
2005-02-03,1,0.8,44.8,49.11,37.66,44.16,43.07,0.86,10.77,236,8.21,0.76,1032.46
2005-02-04,0,0.83,44,47.29,36.96,40.91,43.39,0.92,16.26,203,5.39,0.81,1019.23
2005-02-05,1,0.87,36.025,42.845,31.88,39.325,36.86,0.9,2.76,260,8.91,0.715,1013.82
2005-02-09,1,0.03,43.87,47.77,36.53,40.39,43.12,0.89,18.68,222,6.4,0.8,1011.23
2005-02-10,1,0.06,38.92,45.19,30.17,37.95,34.88,0.77,15.07,264,8.19,0.5,1012.42
2005-02-11,1,0.1,34.63,42.53,31.56,37.59,36.18,0.9,2.73,97,6.1,0.74,1013.74
2005-02-15,1,0.23,28.28,45.24,22.19,45.24,27.7,0.74,3.11,244,8.55,0.45,1028.72
2005-02-17,2,0.3,33.04,47.475,28.68,43.975,36.505,0.82,6.21,259,8.54,0.475,1025.72
2005-02-18,1,0.33,36.475,46.745,27.76,40.295,33.135,0.71,13.77,277.5,9.055,0.515,1016.435
2005-02-21,0,0.41,29.88,39.1,22.46,31.56,28.81,0.8,8.42,42,8.41,0.55,1019.47
2005-02-22,0,0.44,31.52,40.62,24.76,35.01,30.49,0.8,7.6,40,7.68,0.5,1025.89
2005-02-23,1,0.47,31.97,35.33,23.95,26.36,28.3,0.81,9.04,90,8.02,0.75,1027.94
2005-02-24,1,0.51,27.615,35.105,15.785,25.68,26.4,0.815,13.555,57.5,8.805,515.16,554602113.045
2005-02-28,2,0.64,36.175,43.715,30.53,38.165,33.03,0.79,7.455,250.5,8.25,0.82,1019.2
2005-03-01,1,0.67,33.61,41.99,26.26,35.62,31.53,0.8,6.11,353,8.04,0.67,1004.23
2005-03-02,1,0.71,30.02,39.25,24.99,30.7,29.39,0.83,4.73,7,8.2,0.5,1010.21
2005-03-03,1,0.75,26.43,44.35,23.15,37.25,30.09,0.78,6.21,257,8.24,0.55,1018.94
2005-03-04,1,0.78,33.9,41.44,22.93,34.94,30.21,0.76,17.8,320,7.6,0.49,1009.21
2005-03-06,1,0.86,27.77,45.1,23.45,41.61,31.815,0.825,2.935,270,8.105,0.4,1030.62
2005-03-07,2,0.9,36.51,44.9,30.79,39.31,35.71,0.825,9.46,297.5,9.01,0.665,1029.83
2005-03-08,1,0.93,27.45,50.28,24.98,50.28,31.82,0.79,4.31,304,8.5,0.24,1032.09
2005-03-10,0,0.01,34.015,47.585,29.395,41.945,35.735,0.795,10.85,263.5,7.845,0.645,1024.79
2005-03-11,2,0.04,35.145,45.36,24.735,37.005,33.695,0.765,21.295,295.5,7.555,0.68,1007.7
2005-03-12,0,0.08,33.25,44.33,23.45,37.13,27.38,0.67,12.46,297,8.71,0.4,1009.35
2005-03-15,2,0.18,36.905,53.135,33.925,53.135,42.53,0.92,9.96,222,5.22,0.77,1002.5
